OG_name	AT_prot	HV_OrthoMCL	TA_OrthoMCL	
OG1.0_1308	0	1	1	
OG1.0_1309	0	1	1	
OG1.0_1310	0	1	1	
OG1.0_1311	0	1	1	
OG1.0_1312	0	1	1	
OG1.0_1313	0	1	1	
OG1.0_1314	0	1	1	
OG1.0_1315	0	1	1	
OG1.0_1316	0	1	1	
OG1.0_1317	0	1	1	
OG1.0_1318	0	1	1	
OG1.0_1319	0	1	1	
OG1.0_1320	0	1	1	
OG1.0_1321	0	1	1	
OG1.0_1322	0	1	1	
OG1.0_1323	0	1	1	
OG1.0_1324	0	1	1	
OG1.0_1325	0	1	1	
OG1.0_1326	0	1	1	
OG1.0_1327	0	1	1	
