# BEAST v1.8.2, r6687
# Generated Sat Apr 30 12:13:15 CDT 2022 [seed=1651338794855]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
26000	-3223.563873283275	-22.744266730443794	-3200.819606552831	7.745960872632713	3.1589961762497754	1.0	-3200.819606552831	-21.594012419055165
27000	-3220.0668876737154	-20.8706649609712	-3199.196222712744	4.120764324096279	1.2959224995394127	1.0	-3199.196222712744	-20.6114421645673
28000	-3216.773544447072	-20.74157649614949	-3196.031967950922	4.3115668546337345	2.537011478432938	1.0	-3196.031967950922	-19.8105896911307
29000	-3220.326039125632	-22.603059832132352	-3197.7229792935	5.556541838092809	2.998640785959097	1.0	-3197.7229792935	-21.504900717479046
30000	-3221.091186464203	-23.173438777169135	-3197.917747687034	9.177218971780023	3.696152675304078	1.0	-3197.917747687034	-21.866146315989592
31000	-3221.798690924169	-24.704769256581532	-3197.0939216675874	4.367069722277222	5.140428919033121	1.0	-3197.0939216675874	-23.067632733313282
32000	-3220.7427544014495	-23.54121549149277	-3197.2015389099565	4.343042007995272	4.701530011000801	1.0	-3197.2015389099565	-21.993327501496047
33000	-3216.7000782980244	-21.092093657671196	-3195.607984640353	4.808400027771186	3.256749425355562	1.0	-3195.607984640353	-19.911364068522882
34000	-3214.807358229594	-23.595870892951467	-3191.211487336642	6.812551192071758	4.192343017980393	1.0	-3191.211487336642	-22.162611122472057
35000	-3218.7710629996027	-25.199228913136068	-3193.5718340864664	14.131918537659116	4.508734556885465	1.0	-3193.5718340864664	-23.693212385049552
36000	-3214.705907711782	-22.182761153660785	-3192.523146558121	4.652967731454759	4.16937343235086	1.0	-3192.523146558121	-20.754995385170613
37000	-3221.9172430930385	-23.781960401577123	-3198.1352826914613	9.16846181449804	1.9278808917674886	1.0	-3198.1352826914613	-23.12553898542601
38000	-3215.7942246462903	-22.118316162357253	-3193.675908483933	4.3157303125294195	3.180372317881088	1.0	-3193.675908483933	-20.961317891323944
39000	-3212.7716141169576	-21.35478701876939	-3191.416827098188	4.080506717590798	3.1583087990440766	1.0	-3191.416827098188	-20.204750324611876
40000	-3217.7408240240575	-22.593296311119747	-3195.1475277129375	4.312954040425466	2.0721790300133813	1.0	-3195.1475277129375	-21.864695586008548
41000	-3216.6079392836227	-20.526461528351845	-3196.081477755271	4.797665933878827	2.5882006365916093	1.0	-3196.081477755271	-19.57549862898724
42000	-3215.1608007634345	-19.484086515502693	-3195.6767142479316	5.1145482988975015	2.155008528356578	1.0	-3195.6767142479316	-18.716291834480764
43000	-3217.319394869087	-20.109467022665104	-3197.2099278464216	4.623841263421584	2.7793088639974965	1.0	-3197.2099278464216	-19.087264735944007
44000	-3215.9613501708127	-23.792755632416903	-3192.1685945383956	4.379003401730681	5.242806268541101	1.0	-3192.1685945383956	-22.13589873000679
45000	-3221.784249106318	-23.646996859543297	-3198.1372522467746	7.244619991602124	3.86901547225257	1.0	-3198.1372522467746	-22.293996784801497
46000	-3217.2227063106734	-23.33364622843661	-3193.889060082237	7.272629468080103	3.740081300672936	1.0	-3193.889060082237	-22.014538879098595
47000	-3215.7707557494955	-22.375001477124002	-3193.3957542723715	4.508803235347725	4.358556078403804	1.0	-3193.3957542723715	-20.90286064929153
48000	-3213.817333265588	-20.3435011101481	-3193.4738321554396	3.0859924707461057	2.4048647881384415	1.0	-3193.4738321554396	-19.466007429319102
49000	-3213.07020420634	-19.764196914408497	-3193.3060072919316	3.723992480439692	1.970043113649473	1.0	-3193.3060072919316	-19.08614148679682
50000	-3217.13388474574	-23.242953238878922	-3193.8909315068613	8.573764539518761	3.977545700682205	1.0	-3193.8909315068613	-21.862288267914444
51000	-3224.0439096351597	-28.84126170676139	-3195.202647928398	9.678439453902449	9.95045121628257	1.0	-3195.202647928398	-26.543643808248987
52000	-3221.6752167414347	-24.807115038943525	-3196.868101702491	13.811087539093178	2.471515677568748	1.0	-3196.868101702491	-23.902283441857175
53000	-3220.2828454216033	-22.83777446136225	-3197.445070960241	6.572945406615292	3.466058508837722	1.0	-3197.445070960241	-21.594756389415664
