# BEAST v1.8.2, r6687
# Generated Sat Apr 30 11:36:40 CDT 2022 [seed=1651336600336]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
104000	-2079.4777101218097	1.7318473454353795	-2081.209557467245	0.6935514069801824	0.3800336881963785	1.0	-2081.209557467245	0.7643519683925803
105000	-2085.14340492171	0.10192056789132731	-2085.2453254896013	0.745220440436283	0.5549385849849882	1.0	-2085.2453254896013	-0.4869772611520946
106000	-2079.548616664883	2.0729590439697327	-2081.6215757088526	0.621284837674985	0.30735539615417073	1.0	-2081.6215757088526	0.8932084852197457
107000	-2084.7633268104128	0.04089297030963546	-2084.804219780722	0.6563393512557293	0.532653901578788	1.0	-2084.804219780722	-0.5889904357969361
108000	-2076.7360192483516	2.36203766880123	-2079.098056917153	0.6370370531001003	0.35480674033252285	1.0	-2079.098056917153	1.3258556376290909
109000	-2082.3924347024417	1.4642109900135902	-2083.8566456924555	0.6086186491558517	0.28887241090341864	1.0	-2083.8566456924555	0.22244081689753736
110000	-2081.4497127593545	2.173226779613267	-2083.622939538968	0.5865130004087812	0.31718854421274434	1.0	-2083.622939538968	1.0249678743952102
111000	-2079.7706770547834	0.6039474568882043	-2080.3746245116718	0.7070241601960021	0.5029276882166098	1.0	-2080.3746245116718	-0.08336142332957241
112000	-2079.6123214503864	3.3921788070965513	-2083.004500257483	0.6727848744606995	0.2601847491837992	1.0	-2083.004500257483	2.0458154805757633
113000	-2078.564434500335	2.334752996488947	-2080.899187496824	0.6097824206269619	0.21758851360151824	1.0	-2080.899187496824	0.8096034443375988
114000	-2077.4860285424056	2.4952976642715434	-2079.9813262066773	0.7062930098728023	0.32688162527608994	1.0	-2079.9813262066773	1.3771404884342489
115000	-2082.0543228890024	1.396232196115762	-2083.450555085118	0.6673492694820141	0.4875600942066793	1.0	-2083.450555085118	0.6778904701419313
116000	-2084.3828198203296	0.8145606039688085	-2085.1973804242984	0.7362300372725002	0.32234151618022905	1.0	-2085.1973804242984	-0.3175830822621726
117000	-2077.6261948182046	1.8871158957723693	-2079.513310713977	0.7773037128114888	0.35167874850289216	1.0	-2079.513310713977	0.8420787293745327
118000	-2086.286401622019	1.1179486631276938	-2087.404350285147	0.6565676071788088	0.5289007714365389	1.0	-2087.404350285147	0.4809942207842829
119000	-2083.5551871607913	-0.15059372089841783	-2083.404593439893	0.7024618449360814	0.6147013766671348	1.0	-2083.404593439893	-0.6372124163944771
120000	-2081.6202708751507	1.66873512897297	-2083.2890060041236	0.6262110222712624	0.3034997160422033	1.0	-2083.2890060041236	0.4763605248794154
121000	-2089.584713696207	1.6713193244677673	-2091.2560330206747	0.86945653935417	0.29764386527343495	1.0	-2091.2560330206747	0.4594617343348666
122000	-2080.407234592793	-1.0608764043430567	-2079.34635818845	0.6917321120146726	0.7369657906415394	1.0	-2079.34635818845	-1.366090209253135
123000	-2077.249662318943	2.1296982560474262	-2079.3793605749906	0.6583938644744817	0.32940112286982187	1.0	-2079.3793605749906	1.0192192036367227
124000	-2078.3577910258946	1.2721675163279147	-2079.6299585422225	0.6685830856894527	0.20253254607298757	1.0	-2079.6299585422225	-0.3246871676738339
125000	-2079.0443581492086	0.9249792333038667	-2079.9693373825125	0.7378706295437895	0.24123827014227664	1.0	-2079.9693373825125	-0.4969909278131328
126000	-2079.5566346598025	2.1315331971472107	-2081.68816785695	0.6439349010212652	0.34345472640270014	1.0	-2081.68816785695	1.0628332202754782
127000	-2084.946938499961	-1.5772770013914146	-2083.3696614985697	0.7577884176894552	0.7787021409344506	1.0	-2083.3696614985697	-1.8274036684243502
